SeqName	GC	Length
RegSeq189	0.33265306122449	490
RegSeq190	0.367149758454106	207
RegSeq191	0.326693227091633	251
RegSeq192	0.234567901234568	162
RegSeq193	0.336700336700337	297
RegSeq194	0.324152542372881	944
RegSeq195	0.376306620209059	1435
RegSeq196	0.2978515625	1024
RegSeq197	0.244186046511628	258
RegSeq198	0.406315789473684	475
RegSeq199	0.348659003831418	261
RegSeq200	0.348432055749129	287
RegSeq201	0.246861924686192	239
RegSeq202	0.31638418079096	177
RegSeq203	0.32486388384755	551
RegSeq204	0.268398268398268	231
RegSeq205	0.386524822695035	282
RegSeq206	0.271523178807947	151
RegSeq207	0.345398138572906	967
RegSeq208	0.393390191897655	938
RegSeq209	0.326836581709145	667
RegSeq210	0.325670498084291	261
RegSeq211	0.392220421393841	617
RegSeq212	0.319371727748691	382
RegSeq213	0.33920704845815	227
RegSeq214	0.385437541750167	1497
RegSeq215	0.267605633802817	213
RegSeq216	0.335135135135135	185
RegSeq217	0.352601156069364	173
RegSeq218	0.416139240506329	632
RegSeq219	0.313725490196078	408
RegSeq220	0.299684542586751	317
RegSeq221	0.338095238095238	210
RegSeq222	0.304029304029304	273
RegSeq223	0.372759856630824	279
RegSeq224	0.304854368932039	515
RegSeq225	0.309322033898305	236
RegSeq226	0.35024154589372	414
RegSeq227	0.371681415929204	452
RegSeq228	0.36094674556213	676
RegSeq229	0.350961538461538	208
RegSeq230	0.346820809248555	173
RegSeq231	0.426229508196721	183
RegSeq232	0.313218390804598	348
RegSeq233	0.372759856630824	558
RegSeq234	0.39463601532567	261
RegSeq235	0.317307692307692	312
RegSeq236	0.334273624823695	709
RegSeq237	0.254901960784314	204
RegSeq238	0.434650455927052	329
RegSeq239	0.290909090909091	495
RegSeq240	0.365	200
RegSeq241	0.268551236749117	283
RegSeq242	0.338530066815145	449
RegSeq243	0.361419068736142	451
RegSeq244	0.313008130081301	246
RegSeq245	0.352095808383234	835
RegSeq246	0.408312958435208	818
RegSeq247	0.276923076923077	130
RegSeq248	0.3559670781893	486
RegSeq249	0.346790890269151	966
RegSeq250	0.346733668341709	199
RegSeq251	0.305555555555556	144
RegSeq252	0.304498269896194	289
RegSeq253	0.283687943262411	141
RegSeq254	0.335078534031414	382
RegSeq255	0.331550802139037	748
RegSeq256	0.272435897435897	312
RegSeq257	0.309859154929577	71
RegSeq258	0.28	250
RegSeq259	0.350253807106599	788
RegSeq260	0.34208367514356	1219
RegSeq261	0.374064837905237	1203
RegSeq262	0.387909319899244	1191
RegSeq263	0.352785145888594	754
RegSeq264	0.357142857142857	1134
RegSeq265	0.38556338028169	568
RegSeq266	0.377811094452774	667
RegSeq267	0.342293906810036	558
RegSeq268	0.351226993865031	652
RegSeq269	0.321678321678322	429
RegSeq270	0.257861635220126	159
RegSeq271	0.280487804878049	328
RegSeq272	0.408787010506208	1047
RegSeq273	0.375722543352601	346
RegSeq274	0.382775119617225	1045
RegSeq275	0.368483412322275	844
RegSeq276	0.340050377833753	397
RegSeq277	0.360233918128655	855
RegSeq278	0.384792626728111	868
RegSeq279	0.369540873460246	893
RegSeq280	0.342799188640974	493
RegSeq281	0.331103678929766	598
RegSeq282	0.34207650273224	915
RegSeq283	0.317784256559767	343
RegSeq284	0.345755693581781	483
RegSeq285	0.36094674556213	845
RegSeq286	0.354223433242507	734
RegSeq287	0.323265306122449	1225
RegSeq288	0.440049443757726	809
RegSeq289	0.392857142857143	196
RegSeq290	0.363636363636364	165
RegSeq291	0.313883299798793	994
RegSeq292	0.273148148148148	216
RegSeq293	0.347008547008547	585
RegSeq294	0.32843137254902	408
RegSeq295	0.334558823529412	816
RegSeq296	0.246305418719212	203
RegSeq297	0.320574162679426	209
RegSeq298	0.342696629213483	178
RegSeq299	0.330128205128205	312
RegSeq300	0.302941176470588	340
RegSeq301	0.351449275362319	276
RegSeq302	0.317073170731707	369
RegSeq303	0.483994878361076	781
RegSeq304	0.312903225806452	620
RegSeq305	0.259351620947631	401
RegSeq306	0.27027027027027	222
RegSeq307	0.423357664233577	274
RegSeq308	0.406976744186047	86
RegSeq309	0.353697749196141	311
RegSeq310	0.386904761904762	336
RegSeq311	0.427662957074722	629
RegSeq312	0.357142857142857	532
RegSeq313	0.291666666666667	144
RegSeq314	0.355450236966825	422
RegSeq315	0.3125	128
RegSeq316	0.430656934306569	137
RegSeq317	0.302788844621514	251
RegSeq318	0.388461538461538	520
RegSeq319	0.271428571428571	210
RegSeq320	0.384269662921348	1335
RegSeq321	0.352201257861635	795
RegSeq322	0.351254480286738	279
RegSeq323	0.393867924528302	424
RegSeq324	0.277439024390244	328
RegSeq325	0.32258064516129	217
RegSeq326	0.324522760646109	681
RegSeq327	0.404310344827586	1160
RegSeq328	0.327759197324415	299
RegSeq329	0.341090909090909	1375
RegSeq330	0.25748502994012	167
RegSeq331	0.336501901140684	526
RegSeq332	0.331597222222222	576
RegSeq333	0.34020618556701	485
RegSeq334	0.402261712439418	619
RegSeq335	0.308056872037915	211
RegSeq336	0.369928400954654	419
RegSeq337	0.343511450381679	524
RegSeq338	0.243093922651934	181
RegSeq339	0.340292275574113	479
RegSeq340	0.313531353135314	909
RegSeq341	0.347358997314235	1117
RegSeq342	0.319010416666667	768
RegSeq343	0.353503184713376	314
RegSeq344	0.307958477508651	289
RegSeq345	0.335343787696019	829
RegSeq346	0.308252427184466	412
RegSeq347	0.392049348869088	1459
RegSeq348	0.303178484107579	409
RegSeq349	0.30421686746988	332
RegSeq350	0.342507645259939	654
RegSeq351	0.378947368421053	285
RegSeq352	0.363247863247863	702
RegSeq353	0.265060240963855	581
RegSeq354	0.304878048780488	164
RegSeq355	0.357142857142857	294
RegSeq356	0.320610687022901	131
RegSeq357	0.329376854599407	674
RegSeq358	0.388888888888889	144
RegSeq359	0.318421052631579	380
RegSeq360	0.365406643757159	873
RegSeq361	0.286764705882353	408
RegSeq362	0.40809968847352	321
RegSeq363	0.284848484848485	165
RegSeq364	0.346153846153846	78
RegSeq365	0.338430173292559	981
RegSeq366	0.340490797546012	326
RegSeq367	0.34297520661157	242
RegSeq368	0.368794326241135	141
RegSeq369	0.355633802816901	284
RegSeq370	0.352112676056338	213
RegSeq371	0.374603174603175	315
RegSeq372	0.46189917936694	853
RegSeq373	0.227642276422764	123
RegSeq374	0.348360655737705	488
RegSeq375	0.235955056179775	89
RegSeq376	0.407744874715262	878
RegSeq377	0.33859649122807	570
RegSeq378	0.302857142857143	175
RegSeq379	0.369668246445498	211
RegSeq380	0.485981308411215	214
RegSeq381	0.330188679245283	106
RegSeq382	0.391752577319588	485
RegSeq383	0.373601789709172	447
RegSeq384	0.238993710691824	159
RegSeq385	0.341954022988506	348
RegSeq386	0.314787701317716	683
RegSeq387	0.402502606882169	959
RegSeq388	0.310843373493976	415
RegSeq389	0.338121546961326	905
RegSeq390	0.292857142857143	280
RegSeq391	0.372413793103448	145
RegSeq392	0.400250941028858	797
