GeneName	EarlyExp	EstExp	LateExp	minEarly_gb	maxEarly_gb	meanEarly_gb	minEst_gb	maxEst_gb	meanEst_gb	minLate_gb	maxLate_gb	meanLate_gb	minEarly_prom	maxEarly_prom	meanEarly_prom	minEst_prom	maxEst_prom	meanEst_prom	minLate_prom	maxLate_prom	meanLate_prom	Strand	NoClExp	Cluster(exp)	Color	EarlyP-val	EstP-val	LateP-val
A2m	-1.512	-0.0954	1.9069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	5	EarlyVLowEstNLateUp	CabbageGreen	0.00005	0.69095	0.00005
Chodl	-1.267	-0.0959	-2.4433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	7	EarlyLowEstNLateLow	LightGreen	1	1	0.00005
Oxtr	-2.5323	-2.9019	-1.1273	0.500963	0.508578	0.5047705	0.486994	0.490494	0.488744	0.502591	0.517456	0.5100235	0.500963	0.535354	0.5181585	0.490494	0.563492	0.526993	0.410526	0.502591	0.4565585	-	3	EarlyVLowEstVLowLateLow	Orange	0.0002	0.00005	0.0131
Gch1	1.1238	1.8533	1.1363	0.2	0.567164	0.383582	0.40625	0.666667	0.5364585	0	0.463415	0.2317075	0.2	0.447368	0.323684	0.615385	0.666667	0.641026	0	0.425532	0.212766	-	15	AllMildUp	SeaBlue	0.00105	0.00005	0.0001
Iigp1	1.7227	1.7335	1.4201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Cd177	-2.1546	-1.9288	-1.3193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	4	AllVLow	Yellow	0.0005	0.0068	0.0121
Csf2rb2	-0.0979	1.1133	2.0619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	1	0.0019	0.00125
Slc37a2	-0.0588	0.4526	1.5503	0.508333	0.6	0.5574786667	0	0.652174	0.3518943333	0.0909091	0.599034	0.4028207	0.564103	0.564103	0.564103	0.652174	0.652174	0.652174	0.518519	0.518519	0.518519	-	10	EarlyNEstNLateUp	Petrol	0.84815	0.0358	0.00005
Cd300ld	0.7176	1.7716	1.5391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	12	EarlyNEstUpLateN	LightBlue	1	0.00005	0.00375
Slc6a7	-1.2233	-1.8542	-1.5857	0.517241	0.641026	0.5791335	0.321429	0.666667	0.494048	0.386364	0.595238	0.490801	0.542768	0.641026	0.591897	0.321429	0.403465	0.362447	0.589041	0.595238	0.5921395	-	4	AllVLow	Yellow	0.00645	0.00055	0.0002
Ednrb	-1.3452	-2.4301	0.8902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	8	EarlyLowEstVLowLateLow	LightGreenUp	0.00085	0.00005	0.0554
Gpx3	-1.6244	-2.0104	-0.3699	0.422222	0.55	0.486111	0.285714	0.360656	0.323185	0.397059	0.588235	0.492647	0.55	0.588235	0.5691175	0.285714	0.48	0.382857	0.5	0.588235	0.5441175	+	6	AllLow	VeryLightGreen	0.00005	0.00005	0.05265
Rrad	0.9444	0.9563	1.7017	0.153846	0.540741	0.391271	0.428571	0.5	0.4694346667	0.428571	0.488372	0.4682526667	0.540741	0.540741	0.540741	0.428571	0.428571	0.428571	0.488372	0.488372	0.488372	-	15	AllMildUp	SeaBlue	0.00325	0.00335	0.00005
Gstm6	0.3612	2.222	-0.3972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	13	EarlyNEstUpLateLow	Blue	1	0.00195	0.3782
Sox11	0.7336	1.8386	0.1681	0.473684	0.55	0.5158902	0.450902	0.714286	0.5330182	0.363636	0.630435	0.5486084	0.55	0.579545	0.5647725	0.479167	0.573529	0.526348	0.511111	0.512195	0.511653	-	12	EarlyNEstUpLateN	LightBlue	0.00895	0.00005	0.43155
Col9a2	-3.3452	-2.9789	-2.4889	0.446809	0.529915	0.490462	0.289796	0.357955	0.3139563333	0.5	0.556911	0.529387	0.529915	0.529915	0.529915	0.289796	0.289796	0.289796	0.556911	0.556911	0.556911	+	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Fam181b	0.0585	1.9545	0.9352	0.425532	0.833333	0.6294325	0.478261	0.666667	0.572464	0.42623	0.538462	0.482346	0.508816	0.833333	0.6710745	0.4375	0.478261	0.4578805	0.538462	0.60274	0.570601	+	12	EarlyNEstUpLateN	LightBlue	1	0.0018	0.0944
Pamr1	0.6626	1.6283	0.0351	0.438137	0.544526	0.484357	0.440083	0.515531	0.4730893333	0.508383	0.594444	0.546496	0	0	0	0	0	0	0	0	0	+	12	EarlyNEstUpLateN	LightBlue	0.00345	0.00005	0.83225
Saa3	3.6009	5.5788	7.9775	0.47561	0.47561	0.47561	0.475	0.475	0.475	0.653061	0.653061	0.653061	0	0	0	0	0	0	0	0	0	-	20	AllExtremelyUp	DarkRed	0.017	0.00005	0.0001
Nlrp3	0.7557	2.0669	2.2581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	1	0.00005	0.00005
Ass1	1.5974	1.6108	1.2704	0	0.518797	0.2593985	0.369565	0.8	0.5847825	0.611111	1	0.8055555	0	0.5	0.25	0.25	0.8	0.525	0.535714	1	0.767857	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Pilrb2	0.8905	2.0118	2.8192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	1	0.00135	1
Olfml1	-2.3983	-1.8727	-0.5628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	0.00005	0.0013	0.12315
Fgr	0.0873	1.4899	2.9355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	1	0.0001	0.0008
Clstn2	1.5426	1.592	2.2217	0.445563	0.714286	0.5522182	0.5	0.692308	0.5494376	0.465232	0.733333	0.5631626	0.4	0.714286	0.557143	0.409091	0.692308	0.5506995	0.487805	0.636364	0.5620845	-	15	AllMildUp	SeaBlue	0.0013	0.0029	1
Ces2g	1.4529	1.4432	1.6706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	15	AllMildUp	SeaBlue	0.0001	0.00005	0.00005
St3gal6	-0.5392	-0.6145	-1.6836	0.51145	0.666667	0.5890585	0.45	0.6	0.525	0.4	0.581633	0.4908165	0.585938	0.666667	0.6263025	0.425	0.6	0.5125	0.4	0.566929	0.4834645	-	6	AllLow	VeryLightGreen	0.2502	0.24895	0.00015
Irg1	3.6687	4.6961	7.0414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	20	AllExtremelyUp	DarkRed	1	0.00005	0.2436
Ccr5	1.7544	2.748	1.856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	16	AllVUp	DarkPurple	1	0.00005	0.00115
Pcdh20	-0.0175	0.4478	1.5062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	10	EarlyNEstNLateUp	Petrol	0.95145	0.13595	0.00005
Klhl38	2.1823	2.1966	2.3243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	0.00075	0.0028	0.00085
S1pr3	0.9214	1.5364	1.3346	0.438298	0.705882	0.57209	0.4	0.76	0.58	0.537931	1	0.7689655	0.515213	0.705882	0.6105475	0.339223	0.76	0.5496115	0.575949	1	0.7879745	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Nr4a1	-0.4026	1.7967	-1.9348	0.666667	0.725	0.6958335	0.529412	0.538462	0.533937	0.133333	0.363636	0.2484845	0.455307	0.666667	0.560987	0.463855	0.529412	0.4966335	0.133333	0.525253	0.329293	+	13	EarlyNEstUpLateLow	Blue	0.09755	0.00005	0.00005
Tlr8	0.9314	1.9139	1.3796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	1	0.00005	0.01965
Styk1	1.089	1.6503	0.9297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	12	EarlyNEstUpLateN	LightBlue	0.0018	0.00005	0.00175
Gsta3	0.2074	2.8188	1.6001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	14	EarlyNEstUpLateUp	DarkBlue	1	0.00175	0.0197
Neurl3	2.2509	1.68	2.9157	0.487825	0.612821	0.5569156667	0.43112	0.503145	0.473392	0.52952	0.592941	0.5512426667	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	0.0026	0.0002	0.00005
Hcls1	0.4219	0.89	1.571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.3525	0.0019	0.0004
Inpp5d	0.2422	0.9152	1.5049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	10	EarlyNEstNLateUp	Petrol	0.57845	0.0024	0.00295
